Generation,Best Score,Worst Score,Median Score
0,74692615.88937439,-133116950.2747867,256836.68257782198
1,138985957.69609213,-113097961.0638287,410410.44539001747
2,159122934.6519606,-196834568.89061004,293509.66860818706
3,203346147.13146797,-143001046.87208396,756673.2012399402
4,540307303.8427179,-137293296.92141727,871298.2256191641
5,620985594.9801021,-246232253.26482993,1527628.3937894714
6,620985594.9801021,-429611203.2488761,680486.4696634774
7,620985594.9801021,-587402383.6456592,1553147.6947118395
8,620985594.9801021,-429611202.1399705,2672558.385919134
9,620985594.9801021,-376872678.9099625,666318.5621177892
10,620985594.9801021,-538154125.6275377,698521.0366899949
11,620985594.9801021,-578078539.8613063,915397.719334879
12,620985594.9801021,-521227229.0532825,2140183.119341456
13,620985594.9801021,-371826662.4267786,1334316.4078995492
14,620985594.9801021,-793588930.9716055,1269505.044392268
15,633445398.6432799,-793588939.7112167,1085965.1660779219
16,727527461.6009077,-512166901.41081995,2321232.4751531673
17,832935317.951228,-386223341.82092935,1391547.5628396259
18,832935317.951228,-567095893.481449,979335.8870994993
19,832935317.951228,-575848244.4063938,1527265.9977216993
20,832935317.951228,-569292297.4368519,1131538.4102881078
21,832935317.951228,-735632600.8688885,1031359.3757912498
22,832935317.951228,-735632600.8886648,3431922.4610828944
23,832935317.951228,-824362119.6190399,1710349.0801695012
24,832935322.9830183,-735632602.4496106,2306155.9775245627
25,832935322.9830183,-642538388.250889,3538253.7902313904
26,832935322.9830183,-735632602.4496106,1163474.407999688
27,832935326.5445708,-642538386.9104171,2991720.765873933
28,836161333.5444044,-710914454.1206703,4001460.2554458547
29,836161333.5444044,-735632606.2091727,3483868.2381538874
30,836161333.5444044,-710914451.4528606,2593453.6114726593
31,836161333.5444044,-737940673.368241,3872907.5385097726
32,836161333.5444044,-824362114.3659989,3603450.4838097673
33,836161333.5444044,-737940671.7776419,2035064.428414103
34,836161333.5444044,-824362122.7977641,8990827.748327741
35,836161333.5444044,-793588931.6161926,2534205.2817484676
36,836161333.5444044,-824362119.4084876,6770411.659767596
37,836161333.5444044,-735632603.612215,2931295.2418245613
38,836161333.5444044,-793588933.208608,5792159.696126845
39,836161333.5444044,-824362116.0991266,8211286.646202049
40,836161333.5444044,-782100172.7250016,12536682.632437201
41,836161333.5444044,-793588935.1686434,3081767.050950475
42,836161333.5444044,-824362114.1931864,9146168.034202768
43,836161333.5444044,-737940669.9171729,11354827.17913137
44,836161333.5444044,-793588933.208608,4754174.301871724
45,836161333.5444044,-538422560.0755274,2519211.7841988383
46,836161333.5444044,-824362116.0991265,6993296.549805045
47,836161333.5444044,-554331615.5589262,17830449.44132493
48,836161333.5444044,-793588928.079775,5286917.360265662
49,836161333.5444046,-538422559.8466116,10742397.807502659
50,836161333.5444046,-538422561.3060932,2516920.9178029243
51,836161333.5444046,-543767172.5508536,4740583.078787844
52,836161333.5444046,-543767166.6603928,26860629.842435073
53,836161333.5444046,-538422560.0755274,17326035.05193676
54,836161333.5444046,-578474423.3551551,32458959.866052225
55,836161333.5444047,-737940660.459149,4746005.309831789
56,836161337.7164631,-512798095.8354956,6652400.972377637
57,836161337.7164631,-567095893.043215,8141503.97687012
58,836161337.7164631,-782100174.4144502,7991161.375797218
59,836161337.7164631,-796662556.5997432,3149698.006051964
60,836161339.6034497,-512798105.1594692,24463529.828974057
61,836161339.6034497,-782100176.2764509,7337762.63292941
62,836161339.6419966,-512798100.9874104,27664550.237813964
63,836161341.2712232,-755820670.3135635,74915379.28238234
64,836161341.2712232,-540507909.3639838,63185694.57799346
65,836161341.2712232,-824362117.7075404,210547732.39101836
66,836161341.2712232,-512798100.19366604,40631156.75474266
67,836161341.2712232,-796662556.333075,187657471.74980727
68,836161341.2712232,-735632592.563777,177711561.3942518
69,836161341.2712232,-556478569.5622541,14664111.660424577
70,836161342.0092393,-512798100.26694363,126475258.40751581
71,836161342.0092393,-512798096.43180764,92502090.5912438
72,836161344.2315241,-824362116.4169382,158361900.2053518
73,836161344.2315241,-512798098.8679849,81737115.70774983
74,836161344.2315241,-532027321.3681749,256325747.66129544
75,836161344.2315241,-496572942.4047157,279161415.760727
76,836161344.2315241,-505320818.23674077,136711662.36603495
77,836161347.5300083,-569292292.7248715,256325743.50669092
78,836161347.5300083,-569292291.4572861,256325740.88867956
79,836161347.5300083,-796662553.3471957,40677005.33559445
80,836161347.5300083,-540507898.1447486,47124688.16601061
81,836161347.5300083,-796662553.7746813,238261538.86633044
82,836161347.5300083,-580714892.1357825,66290813.20942469
83,836161347.5300083,-755820654.1947875,60195626.6976256
84,836161347.5300083,-556478576.2164184,267322645.2709113
85,836161347.5300083,-556478572.8470304,32964813.060109537
86,836161347.5300083,-782100172.2038565,261305705.08495477
87,836161347.5300083,-782100169.5842376,184319610.66859463
88,836161347.5300083,-540507903.3504571,234502180.19670525
89,836161347.5300083,-532027316.67942625,234502176.98286012
90,836161347.5300083,-782100171.285456,234502179.9786628
91,836161347.5300083,-569292288.411798,268588773.29198116
92,836161347.5300083,-796662544.3870745,234502173.60393456
93,836161347.5300083,-569292287.12302,61291107.106646866
94,836161347.5300083,-796662548.0162868,61291110.48129946
95,836161347.5300083,-782100175.2131248,119403084.96178375
96,836161347.5300083,-496572931.8627793,146505008.6598108
97,836161347.5300083,-397657068.1859859,61291107.106646866
98,836161347.5300083,-437052288.2630335,238288822.4968735
99,836161347.5300083,-580714884.3432193,54217103.711907424
100,836161347.5300083,-512798089.4501296,256325744.02880254
101,836161347.5300083,-505320808.1784798,73149282.9787037
102,836161347.5300083,-397657068.1859859,160163814.63008052
103,836161347.5300083,-532027314.9478169,238288824.62422365
104,836161347.5300083,-505320806.9122159,238288819.93748382
105,836161347.5300083,-505320811.2876222,238288822.4968735
106,836161348.9285537,-782100167.8048952,300292136.6073748
107,836161348.9285537,-507461633.5423294,238288816.92102537
108,836161348.9285537,-397657068.1859859,238288822.4968735
109,836161348.9285537,-515293108.9664322,96860330.39659336
110,836161348.9285537,-507461622.7406583,238288817.0001404
111,836161348.9285537,-532027309.95909494,405951008.22563744
112,836161348.9285538,-397657067.46153146,448734695.73872554
113,836161348.9285538,-496572931.7568887,238288819.93748382
114,836161348.9285538,-496572934.60726696,238288819.93748382
115,836161348.9285538,-824362116.5026805,405951001.465732
116,836161348.9285538,-545873212.1263427,405951008.22563744
117,836161348.9285538,-532027302.59407294,448734690.69924945
118,836161348.9285538,-532027312.0693128,405951006.86991495
119,836161348.9285538,-532027314.1596107,405951002.6497893
120,836161348.9285538,-532027312.9755534,836161347.5300083
121,836161348.9285538,-532027312.9755534,300292144.5266251
122,836161348.9285538,-556478578.3415076,300292149.7686382
123,836161348.928554,-782100171.4128871,836161347.5300083
124,836161348.928554,-532027314.1596107,300292141.0234138
125,836161348.928554,-532027314.1596107,300292144.5266251
126,836161348.928554,-532027313.70000786,300292143.87379205
127,836161348.928554,-532027314.1596107,204701128.01020956
128,836161348.928554,-580714883.3714337,300292142.6541089
129,836161348.928554,-532027302.59407294,836161348.9285537
130,836161348.928554,-532027313.70000786,595439993.0611084
131,836161348.928554,-580714882.4808991,600514876.6057229
132,836161348.928554,-580714886.6814148,300292144.5266251
133,836161348.928554,-507461630.5291761,204701133.64175776
134,836161348.928554,-507461630.98877895,836161348.9285538
135,836161348.928554,-507461630.98877895,204701130.6252993
136,836161348.928554,-580714883.3714337,836161348.9285538
137,836161348.928554,-580714886.6814148,836161342.1219689
138,836161348.928554,-580714885.4182426,836161348.9285537
139,836161348.928554,-580714886.2218121,836161348.9285538
140,836161348.928554,-580714886.2218121,432553842.62109166
141,836161348.928554,-580714886.6814148,432553840.5189589
142,836161348.928554,-580714886.2218121,432553837.5025005
143,836161348.928554,-580714886.6814148,836161348.928554
144,836161348.928554,-580714886.6814148,836161348.928554
145,836161348.928554,-580714886.2218121,836161348.928554
146,836161348.928554,-580714886.6814148,553540539.3853968
147,836161348.928554,-580714886.6814148,836161348.928554
148,836161348.928554,-580714886.6814148,836161348.928554
149,836161348.928554,-580714886.6814148,836161348.928554
