Generation,Best Score,Worst Score,Median Score
0,146996180.80135977,-309948654.38675445,660811.0798293862
1,146996180.80135977,-218412847.4796081,576640.2588863121
2,163097490.44177645,-172226493.11750063,525668.6392745222
3,259046561.62438998,-159541019.50458133,467467.4807928952
4,259046561.62438998,-170546717.77774975,528439.4969226015
5,259046561.62438998,-180765953.42393935,1163653.1549387353
6,356617171.8524583,-168250660.20820984,754049.1186764122
7,356617171.8524583,-256592174.99613702,979371.8664928137
8,356617171.8524583,-334607003.09849346,487406.4178533078
9,356617171.8524583,-334607003.25675505,746928.6677394273
10,462262200.2933259,-578078549.3380302,806319.0825017323
11,462262200.2933259,-330047213.46257347,1925742.3143964706
12,462262200.2933259,-578078549.4153082,1163383.5745506987
13,462262200.2933259,-598178045.7456782,1211437.4682847431
14,462262202.14270914,-610180239.6362936,1320909.0436104734
15,462262202.14270914,-796662553.4359834,1137573.3579575191
16,462262202.14270914,-322352422.566653,1059596.7944392764
17,462262202.14270914,-314726724.9571152,1003210.0542224279
18,836161341.750785,-598178059.4290514,1039939.2720091504
19,836161341.750785,-749329777.6825266,1284774.2976152028
20,836161341.750785,-749329777.469748,1636649.602883595
21,836161341.750785,-778386710.3665583,1474796.1534528555
22,836161341.750785,-749329779.5349245,1750191.9345488863
23,836161341.750785,-610180233.3554835,3165663.9856197825
24,836161341.750785,-512166904.5479128,3383512.5987870903
25,836161341.750785,-520330909.4570437,3863211.5311328694
26,836161341.750785,-778386710.09348,4778853.714789669
27,836161345.184199,-507461635.7083958,2743597.3568277177
28,836161345.184199,-796662551.2965708,3736476.515213794
29,836161345.184199,-507461636.01075155,2056997.9426410508
30,836161345.184199,-540507900.6909859,3917778.993833332
31,836161345.184199,-507461636.312485,4593555.464836926
32,836161345.184199,-796662551.90066,6834882.023390232
33,836161345.184199,-796662546.0118641,3281681.4427558035
34,836161345.184199,-796662549.9569402,4833956.08601849
35,836161345.184199,-796662551.2965707,12865773.768397111
36,836161345.184199,-569292290.5677232,5989476.450394885
37,836161345.184199,-796662551.90066,13856998.325252833
38,836161345.184199,-796662548.336946,9995651.872098904
39,836161345.184199,-796662547.341448,7985227.585382604
40,836161345.184199,-507461633.7680958,6189429.954189453
41,836161345.184199,-796662555.1149833,5133996.419469497
42,836161345.184199,-580714886.0273176,25006419.06601712
43,836161345.184199,-796662557.7227812,3722778.408239306
44,836161345.184199,-796662547.341448,13575838.137369687
45,836161345.9437901,-796662551.90066,7096222.264370363
46,836161345.9437901,-796662547.341448,5075231.8362009805
47,836161345.9437901,-755820653.1850199,4879160.630532748
48,836161345.9437901,-755820651.2447199,10941007.133606981
49,836161345.9437901,-612222751.7355708,14139582.24990481
50,836161345.9437901,-737940657.9074876,8147589.291672523
51,836161345.9437901,-540507901.9662108,11402183.701571068
52,836161345.9437901,-545873208.8650714,7527679.768929567
53,836161345.9437901,-540507899.7590454,9391763.941859806
54,836161345.9437901,-545873213.8323268,7046605.488439574
55,836161345.9437901,-796662549.5426402,9552941.928454028
56,836161345.9437901,-540507899.4605345,15939824.115334945
57,836161345.9437901,-556478572.6120054,5643414.740405341
58,836161345.9437901,-737940660.2889866,5932703.420975796
59,836161345.9437901,-796662551.6815692,36095531.49987444
60,836161345.9437901,-755820650.2389889,10621734.591280501
61,836161345.9437901,-569292292.5976515,103278242.21301314
62,836161345.9437901,-507461631.8177465,6717007.255156164
63,836161345.9437901,-540507899.7590454,91824289.71727373
64,836161345.9437901,-737940657.2043136,52232372.957307
65,836161345.9437901,-540507896.4979808,20353876.567187116
66,836161345.9437901,-540507896.4979808,145660112.80776367
67,836161346.4339298,-507461630.99368185,71569872.23996635
68,836161346.4339298,-556478573.5486077,17875929.684910167
69,836161346.4797732,-580714881.5026413,75787917.1305142
70,836161346.4797732,-778386703.9296241,79142912.4606442
71,836161346.4797732,-569292292.1544701,117132975.34675492
72,836161346.4797732,-545873210.819988,36481203.136244655
73,836161346.4797732,-507461631.8177465,82077667.381193
74,836161346.4797732,-749329764.6542957,80263693.20181449
75,836161346.4797732,-569292291.4415542,91226576.70891006
76,836161346.4797732,-569292286.5087403,70533767.167668
77,836161346.4797732,-569292288.1366655,248367597.06187484
78,836161346.4797732,-545873207.3003072,48964065.10393161
79,836161346.4797732,-569292291.4881808,142632965.72079512
80,836161346.4797732,-569292291.4415542,84426039.29002601
81,836161346.4797732,-737940656.6119134,56811994.17012512
82,836161346.4797732,-738481742.632812,365115949.1391449
83,836161348.5703566,-569292291.4415542,125180867.87179868
84,836161349.740148,-580714884.4291866,117588382.78066783
85,836161349.740148,-569292291.4881808,119403092.16146807
86,836161349.740148,-778386709.5304005,365115944.01623845
87,836161349.740148,-778386704.9892545,378888135.85628086
88,836161349.740148,-580714886.4837028,119403077.40421626
89,836161349.740148,-824362111.9417368,178796232.37725854
90,836161349.740148,-580714888.487915,163379210.2365521
91,836161349.740148,-580714888.487915,143601419.73504066
92,836161349.740148,-580714888.487915,68759003.6009111
93,836161349.740148,-737940658.3187941,62236990.53404018
94,836161349.740148,-580714886.4837028,62236989.506944306
95,836161349.740148,-580714886.6907876,27555280.018647283
96,836161349.740148,-580714886.6907876,68759001.6011799
97,836161349.740148,-580714886.7209013,112628366.90254657
98,836161349.740148,-796662550.4261436,128946525.43062533
99,836161349.740148,-556478563.6330903,83687999.81806119
100,836161349.740148,-545873202.2470068,128946525.43062533
101,836161349.740148,-367327445.1151736,68758997.17367019
102,836161349.740148,-453401415.1540458,128946526.52392803
103,836161349.740148,-755820650.940052,120874018.21839829
104,836161349.740148,-390773004.2627998,128946530.51422457
105,836161349.740148,-383086545.3074909,191998019.65289068
106,836161349.740148,-569292283.8002963,128946526.52392803
107,836161349.740148,-496572934.6551799,128946531.18021712
108,836161349.740148,-545873204.3091224,131915707.04123433
109,836161349.740148,-505320811.42765045,145869051.49025643
110,836161349.740148,-381060720.505792,730345235.3220389
111,836161349.740148,-467483752.51930547,128946532.95116894
112,836161349.740148,-569292288.227806,128946527.55102392
113,836161349.740148,-532027305.5282101,606739864.558567
114,836161349.740148,-737940663.8423755,128946529.11207294
115,836161349.740148,-738481748.8971828,730345238.518886
116,836161350.4191777,-437052284.0887449,836161336.7477401
117,836161350.4191777,-737940653.78311,506195558.21450084
118,836161350.4191777,-556478566.6084075,491461856.84146446
119,836161350.4191777,-496572935.9320588,730345236.8436738
120,836161350.4191777,-515293126.1906343,836161349.7401478
121,836161350.4191777,-572147604.6778361,730345236.8436738
122,836161350.4191777,-545873206.358311,730345235.3220389
123,836161350.4191777,-505320807.36688584,491461856.84146446
124,836161350.4191777,-437052281.6518005,280273054.9702625
125,836161350.4191777,-782100162.5653334,136970812.32453367
126,836161350.4191777,-737940654.0118895,730345235.3220389
127,836161352.046285,-496572928.893916,730345236.9642789
128,836161352.046285,-569292285.616426,730345240.1108483
129,836161352.046285,-737940652.54746,253245062.00745776
130,836161352.046285,-453401414.95501816,730345241.2711835
131,836161353.3223854,-367327449.5240043,730345238.5497993
132,836161353.3223854,-394077336.2405111,730345243.2709147
133,836161353.3223854,-545873214.0698996,253245062.6734503
134,836161353.3223854,-453401414.4750162,730345241.2711835
135,836161353.3223854,-397657061.9725997,730345240.1108483
136,836161353.3223854,-569292285.616426,836161350.4191777
137,836161353.3223854,-545873212.9489958,448734697.68660605
138,836161353.3223854,-437052281.67337006,384845532.6187209
139,836161353.3223854,-569292281.8221346,836161341.3911576
140,836161353.3223854,-569292286.0435843,730345236.0010686
141,836161353.3223854,-569292285.616426,836161345.4519223
142,836161353.3223854,-569292284.2110721,836161350.4191777
143,836161353.3223854,-569292278.0094998,384845534.9272946
144,836161353.3223854,-556478566.1700124,836161353.3223854
145,836161353.3223854,-569292281.8221346,606739879.2017931
146,836161353.3223854,-556478566.1700124,606739879.2017931
147,836161353.3223854,-782100158.983096,836161353.3223854
148,836161353.3223854,-569292279.8856835,836161353.3223854
