Generation,Best Score,Worst Score,Median Score
0,245265173.3937924,-183123317.8783728,639035.5361840846
1,317923065.35124755,-404131541.2080804,667364.7557223532
2,317923065.35124755,-166818468.83838037,514980.45050452783
3,344419689.81575584,-404131541.2099271,413823.3883797459
4,344419689.81575584,-190283756.3527224,1525869.9035256435
5,377688005.45454466,-351716981.3083252,1386277.8023078805
6,482104820.0773415,-411983122.3141326,631966.9646656679
7,482104820.0773415,-381491899.32163024,1079923.662846948
8,642576947.6157367,-404131539.9327978,651317.0348691695
9,642576947.6157367,-495693186.0433857,802336.7519472408
10,642576947.6157367,-228000222.76030695,3002576.2071482423
11,642576947.6157367,-404047004.41784585,2781733.5640288997
12,692903167.1156077,-548040793.7433419,3000338.0514304885
13,692903167.1156077,-598178049.003783,1467380.2145075903
14,692903167.1156077,-612222753.5445702,1148929.940843809
15,692903167.1156077,-580836402.4506586,1899407.7270206437
16,692903167.1156077,-598178046.1677328,5009259.235408547
17,692903167.1156077,-389976358.61979324,1878199.9411991744
18,692903167.1156077,-612222750.4630388,5040913.882822489
19,692903167.1156077,-778386705.3134972,3693961.4414679734
20,692903167.1156077,-645026986.1006967,1376298.0980317236
21,692903167.1156077,-660171655.9254339,2932467.670307045
22,692903167.1156077,-645026987.078286,3975794.588020604
23,692903167.1156077,-645026990.3099608,2457708.4428194314
24,692903167.1156077,-612222755.0035939,1318439.9757872147
25,692903167.1156077,-755820661.3958187,2014280.7483384698
26,692903167.1156077,-612222756.6459838,5873204.022096243
27,692903167.1156077,-612222755.0035939,4377586.7645362485
28,692903167.1156077,-645026986.1006967,3335032.549058825
29,692903169.3607951,-755820665.4113916,4502518.593743141
30,804947682.4740525,-710914450.7666217,5163972.361007312
31,804947682.4740525,-567511706.3241804,3975568.9801842193
32,804947682.4740525,-645026978.3874137,9174570.289196368
33,804947682.4740525,-755820669.8032099,1769418.3951738821
34,804947682.4740525,-683125499.5527941,22540952.892855003
35,804947682.4740525,-683125494.4862984,2225468.5900069773
36,804947682.4740525,-545873220.8225936,7488187.513981259
37,804947682.4740525,-683125503.5623257,28618845.3656515
38,804947682.4740525,-683125499.5527941,15110632.9987551
39,804947682.4740525,-755820662.4807261,6530203.129374079
40,804947682.4740525,-683125498.3025664,6531246.274564914
41,804947682.4740525,-683125500.7052883,5024766.4860802945
42,804947682.4740525,-782100168.6241846,12534005.872044723
43,804947691.1138861,-683125497.0102553,7074585.925426404
44,804947691.1138861,-755820666.113219,7380709.228767129
45,804947691.1138861,-755820665.3311044,28907455.55569082
46,804947691.1138861,-755820668.3494574,13687056.610149099
47,804947691.1138861,-755820667.5121778,26280252.730959024
48,804947691.1138861,-755820667.5121778,17264017.96840974
49,832935320.0921215,-755820669.8839566,29430864.916798793
50,832935320.0921215,-755820669.8839566,17799608.420495864
51,832935320.0921215,-755820669.8839566,14236181.67674545
52,832935320.0921215,-755820668.3494574,27941521.96355968
53,832935320.0921215,-755820667.5121778,6088546.133434057
54,836161328.0835278,-755820665.3311044,7926278.025852846
55,836161328.0835278,-755820669.8839566,17258813.725277577
56,836161328.0835278,-755820653.5198478,9851914.052213825
57,836161328.0835278,-755820663.7213832,7907143.983725479
58,836161328.0835278,-782100174.2211106,25439319.966309395
59,836161328.0835278,-793588931.3030925,89128295.24718392
60,836161328.0835278,-796662563.0275942,44563596.96768284
61,836161328.0835278,-782100176.025029,29956473.989681534
62,836161328.0835278,-782100176.2655214,89128295.18124844
63,836161328.0835278,-796662562.3192364,75679796.53038745
64,836161338.1053879,-782100180.6308637,89246892.78066285
65,836161338.1053879,-796662562.9031433,94676493.47889934
66,836161338.1053879,-796662560.4277067,80711996.45666467
67,836161338.1053879,-796662563.0275942,87253399.27483101
68,836161342.8394578,-796662563.5724643,256325735.77730674
69,836161342.8394578,-796662563.5724643,230938170.8880638
70,836161342.8394578,-824362122.5082179,71210689.9268723
71,836161342.8394578,-796662563.5724643,279031065.5720867
72,836161342.8394578,-796662563.5724643,230938169.33846417
73,836161342.8394578,-796662561.1193314,335825717.91821504
74,836161342.8394578,-796662560.4277067,248860267.00395477
75,836161342.8394578,-796662559.0807592,123045746.65301032
76,836161342.8394578,-796662562.9031433,131915701.5970094
77,836161342.8394578,-796662563.0275942,249688920.97645536
78,836161342.8394578,-796662560.1311567,149015011.56825936
79,836161342.8394578,-737940670.8679626,78626738.56559332
80,836161342.8394578,-556478577.2548412,249824117.18259624
81,836161342.8394578,-556478573.1154276,170994685.94781774
82,836161342.8394578,-545873216.3500228,48417496.76935764
83,836161342.8394578,-556478577.2548412,319459006.10983694
84,836161342.8394579,-545873213.0463991,234502173.44231972
85,836161342.8394579,-737940660.2522286,144995427.30997872
86,836161342.8394579,-545873216.3500228,130410297.23237106
87,836161342.8394579,-737940668.7628202,234502171.58644626
88,836161342.8394579,-580714887.6677675,319459008.21209955
89,836161342.8394579,-545873216.3500228,117588388.05798753
90,836161342.8394579,-545873216.4240015,170994687.14917886
91,836161342.8394579,-569292287.1530468,170994689.00505233
92,836161342.8394579,-580714896.4698738,170994689.25144145
93,836161342.8394579,-545873214.5372915,170994689.25144145
94,836161342.8394579,-569292295.3669494,234502178.23476982
95,836161342.8394579,-569292293.9794848,170994687.76054904
96,836161342.8394579,-545873215.1486616,234502171.5864463
97,836161342.8394579,-737940656.0289922,234502173.70627868
98,836161342.8394579,-737940664.1910778,319459004.9084759
99,836161342.8394579,-737940662.0888153,279161418.0071964
100,836161342.8394579,-737940664.1910778,279161414.93833387
101,836161342.8394579,-737940665.392439,234502172.19781643
102,836161342.8394579,-737940664.1910778,170994689.00505233
103,836161342.8394579,-737940665.5785425,234502172.19781643
104,836161342.8394579,-737940664.1910778,279161416.4292263
105,836161346.7157948,-737940665.392439,234502171.5864463
106,836161346.7157948,-737940665.392439,279161416.44679606
107,836161346.7157948,-737940665.392439,234502173.44231975
108,836161346.7157948,-737940665.392439,279161416.1828372
109,836161346.7157948,-737940665.392439,836161342.8394579
110,836161346.7157948,-737940664.1910778,279161414.93833387
111,836161346.7157948,-737940664.1910778,234502173.70627868
112,836161346.7157948,-737940663.5797077,836161339.2402508
113,836161346.7157948,-737940665.392439,836161341.4409121
114,836161346.7157948,-824362107.2362909,260551017.6992486
115,836161346.7157948,-737940663.5797077,279161412.0846497
116,836161346.7157948,-737940658.1949084,836161341.4409121
117,836161346.7157948,-737940663.5797077,319459012.1060064
118,836161346.7157948,-569292291.3045089,581780311.2259748
119,836161346.7157948,-737940665.6200768,319459017.82476485
120,836161346.7157948,-738481754.2548435,474480437.7380579
121,836161346.7157948,-569292290.1031479,836161336.6150538
122,836161346.7157948,-569292290.103148,474480434.3858181
123,836161346.7157948,-569292288.0008852,836161343.7467878
124,836161346.7157948,-569292290.1031479,474480437.738058
125,836161346.7157948,-569292291.3045089,474480432.21616215
126,836161346.7157948,-569292291.3045089,836161346.7157948
127,836161346.7157948,-569292291.3045089,836161346.7157948
128,836161346.7157948,-569292291.3045089,474480436.21017736
129,836161346.7157948,-569292290.1031479,836161346.7157948
130,836161346.7157948,-569292291.3176575,836161346.7157948
131,836161346.7157948,-569292291.3045089,836161346.7157948
132,836161346.7157948,-569292294.5753578,836161346.7157948
133,836161346.7157948,-752904620.4784523,836161346.7157948
134,836161346.7157948,-782100165.9784349,836161346.7157948
