Generation,Best Score,Worst Score,Median Score
0,1331625.2210847996,-3470142.754055001,57608.961984960006
25,204883283.18865004,-81953315.46546,4398164.06036302
50,204883283.18865004,-146981483.98207504,24233508.76855
75,204883283.18865004,-66648779.93185001,439800.68992
100,204883289.98865005,-24496903.19701251,1185556.896676
125,204883293.93865007,-184394950.63478506,30324.643999999993
150,204883293.93865007,-139693135.10362503,55318497.415435515
175,204883293.93865007,-27938616.900725007,74503021.41860002
200,204883293.93865007,-184394942.48478505,168967.11910000004
225,204883293.93865007,-184394943.43478507,95425096.7317
250,204883293.93865007,-139693137.35362503,204883293.93865007
275,204883293.93865007,-66648771.63184998,95425096.7317
300,204883293.93865007,-184394942.83478504,74503020.36860003
325,204883293.93865007,-184394941.98478505,63041019.55420002
350,204883293.93865007,-204883269.13865006,204883293.93865007
375,204883293.93865007,-184394940.78478506,60128800.04721251
400,204883293.93865007,-184394943.43478507,167631778.20435002
425,204883293.93865007,-34147202.339775,204883293.93865007
450,204883293.93865007,-146981476.28207502,204883293.93865007
475,204883293.93865007,-137608166.21775004,74903573.24370001
500,204883293.93865007,-137608162.91775003,22216267.74395
525,204883293.93865007,-146981475.68207502,65562662.34236802
550,204883293.93865007,-126297903.67725003,204883293.93865007
575,204883293.93865007,-167631764.90435004,204883293.93865007
600,204883293.93865007,-146981473.68207502,74903576.19370002
625,204883293.93865007,-110636960.38087103,204883293.93865007
650,204883293.93865007,-167631764.15435004,204883293.93865007
675,204883293.93865007,-167631765.60435006,204883293.93865007
700,204883293.93865007,-167631767.85435006,204883293.93865007
725,204883293.93865007,-146981474.38207504,204883293.93865007
750,204883293.93865007,-34147203.389775,204883293.93865007
775,204883293.93865007,-126297905.12725002,204883293.93865007
800,204883293.93865007,-146981472.93207502,204883293.93865
825,204883293.93865007,-167631764.90435004,204883293.93865007
850,204883293.93865007,-167631764.15435004,204883293.93865007
875,270445934.681018,-90530339.6371328,236025546.18252477
900,270445939.681018,-99947404.26581098,270445939.681018
925,270445939.681018,-132283332.3238675,270445939.681018
950,270445939.681018,-99947397.56581098,270445939.681018
975,270445939.681018,-5220310.498793001,270445939.681018
1000,270445939.68101805,-103732676.90504798,270445939.681018
1025,270445940.83101803,-125131688.55987401,270445940.83101803
1050,270445942.281018,-167184748.3855384,270445942.281018
1075,270445942.43101805,-110636965.68087101,270445942.43101805
1100,270445942.43101805,-74942841.82425798,270445942.43101805
1125,270445942.43101805,-132283324.12386751,270445942.43101805
1150,270445942.43101805,-132283328.87386751,270445942.43101805
1175,270445942.48101807,-128981892.20479321,270445942.48101807
1200,270445942.48101807,-128981897.05479322,270445942.48101807
1225,270445942.48101807,-201825313.9627,270445942.48101807
1250,270445942.48101807,-201825308.4627,270445942.48101807
1275,270445942.48101807,-128981895.70479321,270445942.48101807
1300,270445942.48101807,-91004861.666272,270445942.48101807
1325,270445942.48101807,-55571073.04199001,270445942.48101807
1350,270445942.48101807,-83838227.35561556,270445942.48101807
1375,270445942.48101807,-128981899.65479322,270445942.48101807
1400,270445942.48101807,-128981892.90479322,270445942.48101807
1425,270445942.48101807,-91951607.9545461,270445942.48101807
1450,270445942.48101807,-6401432.626735,270445942.48101807
1475,270445942.48101807,-19584572.678000003,270445942.48101807
1500,270445942.48101807,-55571073.69199001,270445942.48101807
1525,270445942.48101807,-130860929.16016999,270445942.48101807
1550,270445942.48101807,-125131687.30987401,270445942.48101807
1575,270445942.48101807,-130860929.16016999,270445942.48101807
1600,270445942.48101807,-141464014.4262248,270445942.48101807
1625,270445942.48101807,-125131691.35987402,270445942.48101807
1650,270445942.48101807,-125131693.50987402,270445942.48101807
1675,270445942.48101807,-130860924.46016999,270445942.48101807
1700,270445942.48101807,-137241207.686636,270445942.48101807
1725,270445942.48101807,-137241211.136636,270445942.48101807
1750,270445942.48101807,-146627304.43006998,270445942.48101807
1775,270445942.48101807,-137241211.136636,270445942.48101807
1800,270445942.48101807,-146627300.48007,270445942.48101807
1825,270445942.48101807,-146627301.43006998,270445942.48101807
1850,270445942.48101807,-43620302.85339001,270445942.48101807
1875,270445942.48101807,-47034063.216263995,270445942.48101807
1900,270445942.48101807,-146627300.48007,270445942.48101807
1925,270445942.48101807,-137241207.186636,270445942.48101807
1950,270445942.48101807,-137241209.136636,270445942.48101807
1975,270445942.48101807,-137241207.186636,270445942.48101807
2000,270445942.48101807,-152433150.6147556,270445942.48101807
2025,270445942.48101807,-137241207.186636,270445942.48101807
2050,270445944.08101803,-54089171.07620359,270445944.08101803
2075,270445944.08101803,-80257.5954104,270445944.08101803
2100,270445944.08101803,-204883269.03865004,270445944.08101803
2125,270445944.08101803,-204883268.08865005,270445944.08101803
2150,270445944.08101803,-74942838.22425799,270445944.08101803
2175,270445944.08101803,-137241208.73663598,270445944.08101803
2200,270445944.08101803,-221273934.56174198,270445944.08101803
2225,270445944.08101803,-204883270.33865005,270445944.08101803
2250,270445944.08101803,-221273933.76174197,270445944.08101803
2275,270445944.08101803,-204883270.18865004,270445944.08101803
2300,270445944.08101803,-74942842.47425799,270445944.08101803
2325,270445944.08101803,-5264.7489000000005,270445944.08101803
2350,270445944.08101803,-221273931.26174197,270445944.08101803
2375,270445944.08101803,-146981479.482075,270445944.08101803
2400,270445944.08101803,-221273931.56174198,270445944.08101803
2425,270445944.08101803,-137241207.086636,270445944.08101803
2450,270445944.08101803,-221273932.861742,270445944.08101803
2475,270445944.08101803,-204883269.03865004,270445944.08101803
2500,270445944.08101803,-137241206.536636,270445944.08101803
2525,270445944.08101803,-47034063.11626399,270445944.08101803
2550,270445944.08101803,-221273932.71174198,270445944.08101803
2575,270445944.08101803,-221273932.71174198,270445944.08101803
2600,270445944.08101803,-221273932.861742,270445944.08101803
2625,270445944.08101803,-221273931.56174198,270445944.08101803
2650,270445944.08101803,-209330.05625999998,270445944.08101803
2675,270445944.08101803,-137241205.586636,270445944.08101803
2700,270445944.08101803,-2560024.7392583992,270445944.08101803
2725,270445944.08101803,-137241207.086636,270445944.08101803
2750,270445944.08101803,-221273936.81174198,270445944.08101803
2775,270445944.08101803,-221273932.861742,270445944.08101803
2800,270445944.08101803,-221273932.71174198,270445944.08101803
2825,270445944.08101803,-277631.58318521595,270445944.08101803
2850,270445944.08101803,-221273932.56174198,270445944.08101803
2875,270445944.08101803,-43620300.35339001,270445944.08101803
2900,270445944.08101803,5770.606028800002,270445944.08101803
2925,270445944.08101803,-204883270.03865004,270445944.08101803
2950,270445944.08101803,-137241205.586636,270445944.08101803
2975,270445944.08101803,-204883268.48865002,270445944.08101803
3000,270445944.08101803,-2944719.0782964155,270445944.08101803
3025,270445944.08101803,-18430.23448,270445944.08101803
3050,270445944.08101803,-1245619.8417461698,270445944.08101803
3075,270445944.08101803,-221273931.56174198,270445944.08101803
3100,270445944.08101803,-74942840.72425799,270445944.08101803
3125,270445944.08101803,-3942.8716320000003,270445944.08101803
3150,270445944.08101803,-204883268.08865005,270445944.08101803
3175,270445944.08101803,-137241206.536636,270445944.08101803
3200,270445944.08101803,-18808277.69524807,270445944.08101803
3225,270445944.08101803,-47034063.566263996,270445944.08101803
3250,270445944.08101803,-204883268.48865002,270445944.08101803
3275,270445944.08101803,-221273934.56174198,270445944.08101803
3300,270445944.08101803,-43620298.10339001,270445944.08101803
3325,270445944.08101803,6959735.821343678,270445944.08101803
3350,270445944.08101803,-221273936.81174198,270445944.08101803
3375,270445944.08101803,-47034065.566263996,270445944.08101803
3400,270445944.08101803,-221273932.111742,270445944.08101803
3425,270445944.08101803,-137241209.536636,270445944.08101803
3450,270445944.08101803,16642837.761908803,270445944.08101803
3475,270445944.08101803,-204883268.48865002,270445944.08101803
3500,270445944.08101803,-43228.86823999999,270445944.08101803
3525,270445944.08101803,-1802.9142883199995,270445944.08101803
3550,270445944.08101803,-3961835.52008,270445944.08101803
3575,270445944.08101803,-22601.012598169997,270445944.08101803
3600,270445944.08101803,-204883272.03865004,270445944.08101803
3625,270445944.08101803,-167184745.2355384,270445944.08101803
3650,270445944.08101803,-44401557.41479399,270445944.08101803
3675,270445944.08101803,-167184748.2355384,270445944.08101803
3700,270445944.08101803,-204883269.03865004,270445944.08101803
3725,270445944.08101803,-10317709.179954998,270445944.08101803
3750,270445944.08101803,-204883269.58865005,270445944.08101803
3775,270445944.08101803,-44401559.36479399,270445944.08101803
3800,270445944.08101803,-204883272.03865004,270445944.08101803
3825,270445944.08101803,-110123.57989920002,270445944.08101803
3850,270445944.08101803,-167184749.93553838,270445944.08101803
3875,270445944.08101803,-204883269.03865004,270445944.08101803
3900,270445944.08101803,-167184750.4855384,270445944.08101803
3925,270445944.08101803,-40334769.558923595,270445944.08101803
3950,270445944.08101803,-44401561.36479399,270445944.08101803
3975,270445944.08101803,-254193.56784000003,270445944.08101803
4000,270445944.08101803,-204883271.23865002,270445944.08101803
4025,270445944.08101803,-167184744.2855384,270445944.08101803
4050,270445944.08101803,46528338.773616,270445944.08101803
4075,270445944.08101803,-167184746.3855384,270445944.08101803
4100,270445944.08101803,19423.635026559998,270445944.08101803
4125,270445944.08101803,-44401559.66479399,270445944.08101803
4150,270445944.08101803,-204883268.48865002,270445944.08101803
4175,270445944.08101803,-44401559.36479399,270445944.08101803
4200,270445944.08101803,147032.32872000002,270445944.08101803
4225,270445944.08101803,2704471.76631018,270445944.08101803
4250,270445944.08101803,-44401559.66479399,270445944.08101803
4275,270445944.08101803,-44741986.66895999,270445944.08101803
4300,270445944.08101803,-61464974.161595,270445944.08101803
4325,270445944.08101803,-44401563.61479399,270445944.08101803
4350,270445944.08101803,-204883270.03865004,270445944.08101803
4375,270445944.08101803,-175952777.89608404,270445944.08101803
4400,270445944.08101803,-167184746.3855384,270445944.08101803
4425,270445944.08101803,-45074315.038503006,270445944.08101803
4450,270445944.08101803,-167184742.0855384,270445944.08101803
4475,270445944.08101803,-44401561.36479399,270445944.08101803
4500,270445944.08101803,-204883272.03865004,270445944.08101803
4525,270445944.08101803,-39713326.309039995,270445944.08101803
4550,270445944.08101803,-204883270.33865005,270445944.08101803
4575,270445944.08101803,-167184747.43553838,270445944.08101803
4600,270445944.08101803,114846912.773446,270445944.08101803
4625,270445944.08101803,-204883272.03865004,270445944.08101803
4650,270445944.08101803,-2727177.7531540003,270445944.08101803
4675,270445944.08101803,-11314.514770000002,270445944.08101803
4700,270445944.08101803,-204883268.08865005,270445944.08101803
4725,270445944.08101803,-8111206.058275,270445944.08101803
4750,270445944.08101803,-2704574.7389331195,270445944.08101803
4775,270445944.08101803,270445944.08101803,270445944.08101803
4800,270445944.08101803,-204883272.03865004,270445944.08101803
4825,270445944.08101803,270445944.08101803,270445944.08101803
4850,270445944.08101803,270445944.08101803,270445944.08101803
4875,270445944.08101803,-22620521.481000002,270445944.08101803
4900,270445944.08101803,-167184745.2355384,270445944.08101803
4925,270445944.0810181,-141464016.27622482,270445944.0810181
4950,270445944.0810181,-141464018.52622482,270445944.0810181
4975,270445944.0810181,270445944.0810181,270445944.0810181
5000,270445944.0810181,-43271332.96096288,270445944.0810181
5025,270445944.0810181,185236945.57330003,270445944.0810181
5050,270445944.0810181,90148657.32700601,270445944.0810181
5075,270445944.0810181,-15373519.208500003,270445944.0810181
5100,270445944.0810181,45074331.438503005,270445944.0810181
5125,270445944.0810181,-13033527.673784003,270445944.0810181
5150,270445944.0810181,90148655.227006,270445944.0810181
5175,270445944.0810181,-1217999.9079759999,270445944.0810181
5200,270445944.0810181,-29802.249600000006,270445944.0810181
5225,270445944.0810181,-547429.157884,270445944.0810181
5250,270445944.0810181,-66884469.215197995,270445944.0810181
5275,270445944.0810181,73757994.803914,270445944.0810181
5300,270445944.0810181,117585199.86566001,270445944.0810181
5325,270445944.0810181,45074335.38850301,270445944.0810181
5350,270445944.0810181,-4666425.4243,270445944.0810181
5375,270445944.0810181,-43271336.56096288,270445944.0810181
5400,270445944.0810181,-66884465.215197995,270445944.0810181
5425,270445944.0810181,73757994.45391399,270445944.0810181
5450,270445944.0810181,-66884467.415198,270445944.0810181
5475,270445944.0810181,270445944.0810181,270445944.0810181
5500,270445944.0810181,-358408.18862207996,270445944.0810181
5525,270445944.0810181,-43271336.56096288,270445944.0810181
5550,270445944.0810181,114846915.57344604,270445944.0810181
5575,270445944.0810181,270445944.0810181,270445944.0810181
5600,270445944.0810181,114846914.42344604,270445944.0810181
5625,270445944.0810181,16642842.711908802,270445944.0810181
5650,270445944.0810181,-137241208.73663598,270445944.0810181
5675,270445944.0810181,-85208987.85771802,270445944.0810181
5700,270445944.0810181,270445944.0810181,270445944.0810181
5725,270445944.0810181,-103369.89847679998,270445944.0810181
5750,270445944.0810181,-184394944.884785,270445944.0810181
5775,270445944.0810181,-65546.27138000002,270445944.0810181
5800,270445944.0810181,5959.056860000001,270445944.0810181
5825,270445944.0810181,117585196.16566001,270445944.0810181
5850,270445944.0810181,114846915.92344604,270445944.0810181
5875,270445944.0810181,-66884471.315198,270445944.0810181
5900,270445944.0810181,-43271340.56096288,270445944.0810181
5925,270445944.0810181,-13892.456756999998,270445944.0810181
5950,270445944.0810181,-256156.49249279997,270445944.0810181
5975,270445944.0810181,1375.6229075200004,270445944.0810181
6000,270445944.0810181,-184394944.58478498,270445944.0810181
6025,270445944.0810181,270445944.0810181,270445944.0810181
6050,270445944.0810181,-137241207.086636,270445944.0810181
6075,270445944.0810181,-184394944.58478498,270445944.0810181
6100,270445944.0810181,1681264.4324356995,270445944.0810181
6125,270445944.0810181,73757989.15391399,270445944.0810181
6150,270445944.0810181,-184394944.58478498,270445944.0810181
6175,270445944.0810181,163906631.53092003,270445944.0810181
6200,270445944.0810181,-130149.251480864,270445944.0810181
6225,270445944.0810181,-1131032.7935112002,270445944.0810181
6250,270445944.0810181,117585196.46566,270445944.0810181
6275,270445944.0810181,162919243.07230002,270445944.0810181
6300,270445944.0810181,-43271335.96096288,270445944.0810181
6325,270445944.0810181,270445944.0810181,270445944.0810181
6350,270445944.0810181,-43271337.110962875,270445944.0810181
6375,270445944.0810181,-163906612.13092002,270445944.0810181
6400,270445944.0810181,-184394944.58478498,270445944.0810181
6425,270445944.0810181,-137241205.48663598,270445944.0810181
6450,270445944.0810181,270445944.0810181,270445944.0810181
6475,270445944.0810181,73757991.65391399,270445944.0810181
6500,270445944.0810181,270445944.0810181,270445944.0810181
6525,270445944.0810181,-32335918.8080565,270445944.0810181
6550,270445944.0810181,-66884464.26519799,270445944.0810181
6575,270445944.0810181,-163906614.93092,270445944.0810181
6600,270445944.0810181,270445944.0810181,270445944.0810181
6625,270445944.0810181,-35200416.402302995,270445944.0810181
6650,270445944.0810181,-184394940.284785,270445944.0810181
6675,270445944.0810181,-184394939.934785,270445944.0810181
6700,270445944.0810181,-32335909.5080565,270445944.0810181
6725,270445944.0810181,-184394940.284785,270445944.0810181
6750,270445944.0810181,-137241207.086636,270445944.0810181
6775,270445944.0810181,-9117155.57278,270445944.0810181
6800,270445944.0810181,-184394941.184785,270445944.0810181
6825,270445944.0810181,270445944.0810181,270445944.0810181
6850,270445944.0810181,16642838.761908801,270445944.0810181
6875,270445944.0810181,-137241205.586636,270445944.0810181
6900,270445944.0810181,16642838.511908801,270445944.0810181
6925,270445944.0810181,270445944.0810181,270445944.0810181
6950,270445944.0810181,-2173660.9705817597,270445944.0810181
6975,270445944.0810181,-32335914.4080565,270445944.0810181
7000,270445944.0810181,-43271340.56096288,270445944.0810181
7025,270445944.0810181,31663792.324154995,270445944.0810181
7050,270445944.0810181,-8407.46098,270445944.0810181
7075,270445944.0810181,-43271337.110962875,270445944.0810181
7100,270445944.0810181,-32335916.3080565,270445944.0810181
7125,270445944.0810181,270445944.0810181,270445944.0810181
7150,270445944.0810181,270445944.0810181,270445944.0810181
7175,270445944.0810181,4855.684332159999,270445944.0810181
7200,270445944.0810181,-43271335.96096288,270445944.0810181
7225,270445944.0810181,-9370.601443600002,270445944.0810181
7250,270445944.0810181,270445944.0810181,270445944.0810181
7275,270445944.0810181,-184394944.884785,270445944.0810181
7300,270445944.0810181,-32335917.8080565,270445944.0810181
7325,270445944.0810181,16642835.361908803,270445944.0810181
7350,270445944.0810181,-6181.71003335,270445944.0810181
7375,270445944.0810181,-30111.940335480005,270445944.0810181
7400,270445944.0810181,270445944.0810181,270445944.0810181
7425,270445944.0810181,73757994.803914,270445944.0810181
7450,270445944.0810181,-6537.085339999999,270445944.0810181
7475,270445944.0810181,363.44560000000007,270445944.0810181
7500,270445944.0810181,270445944.0810181,270445944.0810181
7525,270445944.0810181,-184394941.434785,270445944.0810181
7550,270445944.0810181,270445944.0810181,270445944.0810181
7575,270445944.0810181,-11956.103624,270445944.0810181
7600,270445944.0810181,-443438.3811999999,270445944.0810181
7625,270445944.0810181,16642838.511908801,270445944.0810181
7650,270445944.0810181,-32335918.1080565,270445944.0810181
7675,270445944.0810181,-66884471.315198,270445944.0810181
7700,270445944.0810181,-66884469.51519799,270445944.0810181
7725,270445944.0810181,114846910.27344604,270445944.0810181
7750,270445944.0810181,270445944.0810181,270445944.0810181
7775,270445944.0810181,-1739132.4744312,270445944.0810181
7800,270445944.0810181,270445944.0810181,270445944.0810181
7825,270445944.0810181,-3041191.03389,270445944.0810181
7850,270445944.0810181,-163906617.43092,270445944.0810181
7875,270445944.0810181,-43271332.96096288,270445944.0810181
7900,270445944.0810181,162919248.1223,270445944.0810181
7925,270445944.0810181,270445944.0810181,270445944.0810181
7950,270445944.0810181,114846911.27344604,270445944.0810181
7975,270445944.0810181,-66884471.315198,270445944.0810181
8000,270445944.0810181,-6111.037199999999,270445944.0810181
8025,270445944.0810181,162919248.1223,270445944.0810181
8050,270445944.0810181,-1840966.4109270007,270445944.0810181
8075,270445944.0810181,170822.6151634,270445944.0810181
8100,270445944.0810181,-11408.046699999997,270445944.0810181
8125,270445944.0810181,-137241205.936636,270445944.0810181
8150,270445944.0810181,-137241210.836636,270445944.0810181
8175,270445944.0810181,-163906613.28092003,270445944.0810181
8200,270445944.0810181,-43271335.96096288,270445944.0810181
