Generation,Best Score,Worst Score,Median Score
0,16521139.887531256,-9912685.192518748,146625.78012287998
25,134105418.24347998,-45240385.76767999,2999102.5156211187
50,134105419.94347998,-42252395.70548,58306706.6276
75,134105419.94348001,-184394952.434785,787773.4108799999
100,134105428.89347999,-121245993.69616,2591278.7028687503
125,184394957.83478498,-113668126.399525,184607.97122803197
150,184394958.884785,-44701798.281160004,299678.68847999995
175,270445940.181018,-66884465.96519798,120677.19794562
200,270445940.231018,-146627308.03006998,2899320.8812999995
225,270445940.231018,-184394943.284785,72920.3139098
250,270445940.23101807,-91128511.8408865,270445940.231018
275,270445940.23101807,-184394943.13478503,2070422.1846720001
300,270445940.23101807,-64584098.42606401,187231808.97147405
325,270445942.93101805,-245859929.34638005,487025.2446479999
350,270445942.93101805,-245859926.09638005,3167115.6046916004
375,270445942.93101805,-26456657.024773497,166713252.57597008
400,270445942.93101805,-151557486.33270007,270445942.93101805
425,270445942.93101805,-26456657.974773496,270445942.93101805
450,270445942.93101805,-245859926.94638005,270445942.93101805
475,270445942.93101805,-208035321.97386003,270445942.93101805
500,270445942.93101805,-245859930.79638004,270445942.93101805
525,270445942.93101805,-128981895.10479324,270445942.93101805
550,270445942.93101805,-128981899.45479323,270445942.93101805
575,270445942.93101805,-50456319.22817501,270445942.93101805
600,270445942.93101805,-65167683.61892,270445942.93101805
625,270445942.93101805,-128981892.70479323,113095580.90933481
650,270445942.93101805,-43271340.71096289,270445936.93101805
675,270445942.93101805,-136235.58196224,270445942.93101805
700,270445942.93101805,-128981892.70479323,270445942.93101805
725,270445942.93101805,-128981894.15479323,204883293.23865002
750,270445942.93101805,-128981896.35479324,270445942.93101805
775,270445942.93101805,-128981897.60479324,270445942.93101805
800,270445942.93101805,-128981899.05479324,270445942.93101805
825,270445942.93101805,-128981899.05479324,270445942.93101805
850,270445942.93101805,-26456658.424773496,270445942.93101805
875,270445942.93101805,-152433154.9147556,270445942.93101805
900,270445942.93101805,-4444261.303288001,270445942.93101805
925,270445942.93101805,-208035324.97386003,270445942.93101805
950,270445942.93101805,-83838228.75561559,270445942.93101805
975,270445942.93101805,-435336.95415999996,270445942.93101805
1000,270445945.58101803,-47034068.016264014,270445942.93101805
1025,270445945.58101803,-201825307.51270002,270445945.58101803
1050,270445945.58101803,-83838230.05561559,270445945.58101803
1075,270445945.58101803,-99947398.01581101,270445945.58101803
1100,270445946.18101805,-201825307.11270002,270445945.58101803
1125,270445946.18101805,-114734632.16164403,270445946.18101805
1150,270445946.18101805,-99947392.865811,270445946.18101805
1175,270445946.18101805,-245859926.69638005,270445946.18101805
1200,270445946.18101805,-7930956.636980002,270445946.18101805
1225,270445946.18101805,-2611067.4590000003,270445946.18101805
1250,270445946.18101805,-245859923.94638005,270445946.18101805
1275,270445946.18101805,-36328544.680286,270445946.18101805
1300,270445946.1810181,-127027622.85396302,270445946.1810181
1325,270445946.1810181,-26747919.705899995,270445946.1810181
1350,270445946.1810181,-152433149.36475563,270445946.1810181
1375,270445946.1810181,-29086.861516800003,270445946.1810181
1400,270445946.1810181,-9284395.481800001,270445946.1810181
1425,270445946.1810181,-21883084.891500004,270445946.1810181
1450,270445946.1810181,-82647.84054185002,270445946.1810181
1475,270445946.1810181,-66571295.097635195,270445946.1810181
1500,270445946.1810181,-66571294.24763519,270445946.1810181
1525,270445946.1810181,-1850546.9719619995,270445946.1810181
1550,270445946.1810181,-57007887.3844488,270445946.1810181
1575,270445946.1810181,-66571292.347635195,270445946.1810181
1600,270445946.1810181,-66571295.097635195,270445946.1810181
1625,270445946.1810181,-7952888.681811198,270445946.1810181
1650,270445946.1810181,-216457.78478719995,270445946.1810181
1675,270445946.1810181,-127027623.40396301,270445946.1810181
1700,270445946.1810181,-13894435.33635,270445946.1810181
1725,270445946.1810181,-127027622.85396302,270445946.1810181
1750,270445946.1810181,-181642786.40143,270445946.1810181
1775,270445946.1810181,-127027620.65396301,270445946.1810181
1800,270445946.1810181,-127027621.25396302,68840798.5469864
1825,270445946.1810181,-66571294.54763519,270445946.1810181
1850,270445946.1810181,-66571294.14763519,270445946.1810181
1875,270445946.1810181,-66571292.947635196,270445946.1810181
1900,270445946.1810181,-2927030.2808800004,270445946.1810181
1925,270445946.1810181,-100027949.06558204,270445946.1810181
1950,270445946.1810181,-66571294.24763519,270445946.1810181
1975,270445946.1810181,-184394937.93478504,270445946.1810181
2000,270445946.1810181,-44401557.314794004,270445946.1810181
2025,270445946.1810181,-141464011.22622478,270445946.1810181
2050,270445946.1810181,-127027619.10396302,270445946.1810181
2075,270445946.1810181,-44401560.264794,270445946.1810181
2100,270445946.1810181,-66571294.54763519,270445946.1810181
2125,270445946.1810181,-66571294.24763519,270445946.1810181
2150,270445946.1810181,-127027622.55396302,270445946.1810181
2175,270445946.1810181,-3021240.9861,270445946.1810181
2200,270445946.1810181,-125131687.309874,270445946.1810181
2225,270445946.1810181,-44401558.764794,270445946.1810181
2250,270445946.1810181,-1636759.3019563197,270445946.1810181
2275,270445946.1810181,-127027623.15396301,270445946.1810181
2300,270445946.1810181,-127027622.55396302,270445946.1810181
2325,270445946.1810181,-66571294.847635195,270445946.1810181
2350,270445946.1810181,29325474.566014,270445946.1810181
2375,270445946.1810181,-205736.56224000003,270445946.1810181
2400,270445946.1810181,-127027620.65396301,270445946.1810181
2425,270445946.1810181,-327025.5026376959,270445946.1810181
2450,270445946.1810181,4606.254771200001,270445946.1810181
2475,270445946.1810181,-132283326.47386752,270445946.1810181
2500,270445946.1810181,-66571294.24763519,270445946.1810181
2525,270445946.1810181,-66571295.64763519,270445946.1810181
2550,270445946.1810181,-127027622.45396303,270445946.1810181
2575,270445946.1810181,-135222954.41550905,270445946.1810181
2600,270445946.1810181,-1949690.8861600005,270445946.1810181
2625,270445946.1810181,-66571294.79763519,270445946.1810181
2650,270445946.1810181,-135222953.81550905,270445946.1810181
2675,270445946.1810181,-81953301.46546002,270445946.1810181
