Generation,Best Score,Worst Score,Median Score
0,2040064.24728,-2829701.32704,77573.8689225
25,75451631.970594,-25150528.190198,1284873.4719999998
50,90821408.95071502,-60906716.93710601,385074.9686000001
75,93615911.010737,-83214118.30954401,38472290.22906999
100,93615911.010737,-83214122.85954401,77177.02250999998
125,93615915.56073701,-74892705.0285896,38581110.1889704
150,93615915.56073701,-30453350.668553002,93615912.61073701
175,93615915.56073701,-22356021.180176,38472292.57907
200,185236943.07330003,-107556930.84740002,35708334.931600004
225,185236947.42330003,-110223627.00559998,46309241.26832501
250,204883290.48865002,-208035325.92385995,1487343.2531839998
275,204883292.33865005,-201825311.3127,305617.10909215995
300,204883292.33865005,-208035322.72385997,43460100.47335
325,204883292.33865005,-208035323.72385997,139320638.996282
350,204883292.48865002,-105545921.31385002,204883292.48865002
375,204883292.48865002,-75717723.881675,204883292.48865002
400,270445941.0810179,-78585362.1114,127027643.95396301
425,270445941.0810179,-19833639.71228,270445941.0810179
450,270445941.0810179,-78675173.5108416,270445941.0810179
475,270445941.081018,-64584098.476064,270445941.081018
500,270445941.081018,-187231786.82147402,18506693.57736
525,270445941.131018,-208035321.32386,270445941.131018
550,270445941.131018,-4097657.730773001,270445941.131018
575,270445941.131018,-51866333.70252399,27215721.452000007
600,270445941.131018,-65562640.592368014,139320642.14628196
625,270445941.131018,-208035324.12385997,270445941.131018
650,270445941.13101804,-57367310.230822,270445941.13101804
675,270445941.13101804,-15116539.701600002,270445941.13101804
700,270445942.38101804,-208035324.12386003,270445941.13101804
725,270445942.38101804,-204883268.48864996,270445942.38101804
750,270445942.38101804,-201825310.11270002,270445942.38101804
775,270445942.38101804,-221273935.61174208,26172198.932034
800,270445942.38101804,-201825310.8127,270445942.38101804
825,270445942.38101804,-221273936.81174207,270445942.38101804
850,270445944.68101805,-125131688.559874,270445942.38101804
875,270445944.68101805,-167184744.48553842,2908029.8702259995
900,270445944.68101805,-167184748.63553843,270445944.68101805
925,270445944.68101805,-167184744.03553843,270445944.68101805
950,270445944.68101805,-51866329.352524,270445944.68101805
975,270445944.68101805,-91234762.21648796,270445944.68101805
1000,270445944.68101805,-167184747.83553842,270445944.68101805
1025,270445944.68101805,-125131688.959874,270445944.68101805
1050,270445944.68101805,-66571295.4976352,270445944.68101805
1075,270445944.68101805,-125131690.159874,270445944.68101805
1100,270445944.68101805,-4097656.5307730003,270445944.68101805
1125,270445944.68101805,-167184746.63553843,270445944.68101805
1150,270445945.281018,-66571295.8976352,270445944.68101805
1175,270445945.281018,-92197466.2423925,270445945.281018
1200,270445945.281018,-148189540.22864002,270445945.281018
1225,270445945.281018,-43797696.250527985,270445945.281018
1250,270445945.281018,-137241204.436636,270445945.281018
1275,270445945.281018,-184394941.63478503,270445945.281018
1300,270445945.281018,-137241208.086636,270445945.281018
1325,270445945.281018,-148189538.57863998,270445945.281018
1350,270445945.281018,-208035321.07386002,270445945.281018
1375,270445945.281018,-208035317.72386,270445945.281018
1400,270445945.281018,-148189540.62864003,270445945.281018
1425,270445945.281018,-148189540.22864002,270445945.281018
1450,270445945.281018,-148189539.87864003,270445945.281018
1475,270445945.281018,-32335914.708056513,270445945.281018
1500,270445945.281018,-121700656.8339581,270445945.281018
1525,270445945.281018,-208035320.67386,270445945.281018
1550,270445945.281018,-137241208.886636,270445945.281018
1575,270445945.281018,-18382755.129744723,270445945.281018
1600,270445945.281018,-127027622.15396301,270445945.281018
1625,270445945.281018,-208035322.47386,270445945.281018
1650,270445945.281018,-127027622.85396302,270445945.281018
1675,270445945.281018,-208035319.02386,270445945.281018
1700,270445945.281018,-137241204.73663598,270445945.281018
1725,270445945.281018,-78675168.0608416,270445945.281018
1750,270445945.281018,-54089172.026203595,270445945.281018
1775,270445945.281018,-127027620.25396302,270445945.281018
1800,270445945.281018,-208035317.72386,270445945.281018
1825,270445945.281018,-29749038.829411983,270445945.281018
1850,270445945.281018,-208035319.02386,270445945.281018
1875,270445945.281018,-208035321.07386002,270445945.281018
1900,270445945.281018,-208035320.32386002,270445945.281018
1925,270445945.281018,-27160839.965000004,270445945.281018
1950,270445945.281018,-137241204.436636,270445945.281018
1975,270445945.281018,-137241208.086636,270445945.281018
2000,270445945.281018,-91951603.10454609,270445945.281018
2025,270445945.281018,65562658.792368,270445945.281018
2050,270445945.281018,-127027620.25396302,270445945.281018
2075,270445945.281018,-137241206.036636,270445945.281018
2100,270445945.281018,-14029476.509625603,270445945.281018
2125,270445945.281018,-2984266.90665,270445945.281018
2150,270445945.281018,-45767756.845249206,270445945.281018
2175,270445945.281018,-204883267.23864993,270445945.281018
2200,270445945.281018,-103732673.705048,270445945.281018
2225,270445945.281018,-204883270.18864995,270445945.281018
2250,270445945.281018,-103732675.505048,270445945.281018
2275,270445945.281018,119466.48046208,270445945.281018
2300,270445945.281018,-137241207.686636,270445945.281018
2325,270445945.281018,-137241207.686636,270445945.281018
2350,270445945.281018,179.81379088000003,270445945.281018
2375,270445945.281018,-103732674.755048,270445945.281018
2400,270445945.281018,-45767761.345249206,270445945.281018
2425,270445945.281018,-103732673.105048,270445945.281018
2450,270445945.281018,-137241210.336636,270445945.281018
2475,270445945.281018,-204883267.23864993,270445945.281018
2500,270445945.281018,-137241206.636636,270445945.281018
2525,270445945.281018,-137241207.686636,270445945.281018
2550,270445945.281018,-137241210.336636,270445945.281018
2575,270445945.281018,-204883267.23864993,270445945.281018
2600,270445945.281018,-103732676.855048,270445945.281018
2625,270445945.281018,-137241206.636636,270445945.281018
2650,270445945.281018,-204883270.18864995,270445945.281018
2675,270445945.281018,-204883269.13864994,270445945.281018
2700,270445945.281018,-103732674.755048,270445945.281018
2725,270445945.281018,-204883267.23864993,270445945.281018
2750,270445945.281018,270445945.281018,270445945.281018
2775,270445945.281018,-137241207.686636,270445945.281018
2800,270445945.281018,-103732676.555048,270445945.281018
2825,270445945.281018,-103732675.155048,270445945.281018
2850,270445945.281018,-139320617.796282,270445945.281018
2875,270445945.281018,-130335376.78784001,270445945.281018
2900,270445945.281018,-137241204.436636,270445945.281018
2925,270445945.281018,-221273929.56174204,270445945.281018
2950,270445945.281018,-103732674.155048,270445945.281018
2975,270445945.281018,-221273933.91174203,270445945.281018
3000,270445945.281018,-221273929.91174203,270445945.281018
3025,270445945.281018,-130335380.38784002,270445945.281018
3050,270445945.281018,-1353.37796,270445945.281018
3075,270445945.281018,-375806.1567044001,270445945.281018
3100,270445945.281018,-204883270.13864994,270445945.281018
3125,270445945.281018,-29749041.27941199,270445945.281018
3150,270445945.281018,-29749043.32941199,270445945.281018
3175,270445945.281018,-204883269.58864996,270445945.281018
3200,270445945.281018,-128981891.55479321,270445945.281018
3225,270445945.281018,-99947399.365811,270445945.281018
3250,270445945.281018,-99947400.365811,270445945.281018
3275,270445945.281018,-204883268.53864995,270445945.281018
3300,270445945.281018,-221273933.46174204,270445945.281018
3325,270445945.281018,-204883270.13864994,270445945.281018
3350,270445945.281018,-221273933.91174203,270445945.281018
3375,270445945.281018,-204883271.38864994,270445945.281018
3400,270445945.281018,-130335374.43784001,270445945.281018
3425,270445945.281018,-137241207.086636,270445945.281018
3450,270445945.281018,-130335378.68784001,270445945.281018
3475,270445945.281018,-132283324.17386752,270445945.281018
3500,270445945.281018,-130335377.33784,270445945.281018
3525,270445945.281018,-137241205.636636,270445945.281018
3550,270445945.281018,-128981895.25479321,270445945.281018
3575,270445945.281018,-204883269.58864996,270445945.281018
3600,270445945.281018,-130335376.78784001,270445945.281018
3625,270445945.281018,-137241208.536636,270445945.281018
3650,270445945.281018,-130335375.33784,270445945.281018
3675,270445945.281018,-204883265.58864996,270445945.281018
3700,270445945.281018,-3289523.590184,270445945.281018
3725,270445945.281018,-132283324.72386752,270445945.281018
3750,270445945.281018,-130335378.13784002,270445945.281018
3775,270445945.281018,-29749041.879411988,270445945.281018
3800,270445945.281018,-204883267.23864993,270445945.281018
3825,270445945.281018,-132283324.17386752,270445945.281018
3850,270445945.281018,-29749037.97941199,270445945.281018
3875,270445945.281018,-130335380.38784002,270445945.281018
