Generation,Best Score,Worst Score,Median Score
0,3486960.7941119997,-3269036.394479999,16881.491571839997
25,110248945.23032,-31614592.86136,15026524.6124288
50,160963460.0972672,-37192418.233119994,15033950.683680004
75,160963463.74726722,-59486482.4902944,79018432.79502206
100,190229548.21949762,-59935329.360937595,214101.98997440006
125,190229548.21949765,-70302212.79307522,43752800.09298444
150,190229548.21949765,-45838436.36614401,43233996.306704
175,190229548.21949765,-1343646.2937913998,16696921.261540003
200,190229550.16949764,-103385609.39864002,158524619.941248
225,190229550.16949764,-52117673.68342401,131697382.92503682
250,190229550.16949764,-8456061.72768257,144113296.80568
275,190229550.16949764,-70302211.34307522,43233995.456704
300,190229550.16949764,-90724847.32391424,32727671.290451206
325,190229550.16949764,-38750450.095638394,1873068.0971999997
350,190229550.16949764,-146330403.61115202,88600069.66182081
375,236025540.68252477,-31704914.6282496,2291934.8683072007
400,270445938.28101796,-141464022.27622482,184394960.98478496
425,270445939.78101796,-204883273.53865004,270445939.78101796
450,270445940.83101803,-221273932.86174202,38530300.166970015
475,270445940.83101803,-51866332.452524,173388.31734080004
500,270445940.83101803,-196687945.37710398,270445940.83101803
525,270445940.83101803,-196687940.22710398,67611491.45775451
550,270445940.83101803,-196687944.077104,270445940.83101803
575,270445940.83101803,-196687941.927104,181642799.80143
600,270445940.83101803,-221273935.711742,270445940.83101803
625,270445941.33101803,-127027624.853963,270445941.33101803
650,270445941.33101803,-127027624.853963,34675061.017194
675,270445941.33101803,-184394947.334785,270445941.33101803
700,270445941.33101803,-177827454.894368,270445941.33101803
725,270445941.33101803,-221273933.61174202,270445941.33101803
750,270445941.58101803,-204883271.18865004,270445941.58101803
775,270445941.58101803,-166713241.62596998,270445941.58101803
800,270445941.58101803,-152433150.2647556,270445941.58101803
825,270445941.58101803,-187231789.021474,270445941.58101803
850,270445941.58101803,-204883272.78865004,270445941.58101803
875,270445941.58101803,-204883270.33865005,270445941.58101803
900,270445941.58101803,-204883274.98865002,270445941.58101803
925,270445941.58101803,-166713235.57597002,270445941.58101803
950,270445941.58101803,-146627305.78006998,270445941.58101803
975,270445941.58101803,-5216921.632755201,270445941.58101803
1000,270445941.58101803,-204883275.28865004,270445941.58101803
1025,270445941.58101803,-204883274.98865002,270445941.58101803
1050,270445943.531018,-184394944.38478497,270445943.531018
1075,270445943.531018,-184394944.33478495,270445943.531018
1100,270445943.531018,-187231788.87147403,270445943.531018
1125,270445943.531018,-490868.49033400015,270445943.531018
1150,270445943.531018,-184394944.38478497,270445943.531018
1175,270445943.531018,-58160406.40452,270445943.531018
1200,270445943.531018,-245859929.34638,270445943.531018
1225,270445943.531018,-245859928.84638,270445943.531018
1250,270445943.531018,-204883269.63865003,270445943.531018
1275,270445943.531018,-184394944.73478496,270445943.531018
1300,270445943.531018,-12735123.3312,270445943.531018
1325,270445943.531018,-125131687.309874,270445943.531018
1350,270445943.531018,-9199886.769995,270445943.531018
1375,270445943.531018,-2704451.5163101805,270445943.531018
1400,270445943.531018,-187231788.921474,270445943.531018
1425,270445943.531018,-58160406.90452,270445943.531018
1450,270445943.531018,-187231789.82147402,270445943.531018
1475,270445943.531018,-125131689.60987401,270445943.531018
1500,270445943.531018,-187231791.021474,270445943.531018
1525,270445943.531018,-245859927.94638,270445943.531018
1550,270445943.531018,-245859926.34638,270445943.531018
1575,270445943.531018,-426171.12427200004,270445943.531018
1600,270445943.531018,-40712280.83316399,270445943.531018
1625,270445943.531018,-1854575.3014080005,270445943.531018
1650,270445943.531018,-184394945.58478495,270445943.531018
1675,270445943.531018,-184394940.98478496,270445943.531018
1700,270445943.531018,-245859927.74638,270445943.531018
1725,270445943.531018,-245859927.74638006,270445943.531018
1750,270445943.531018,148652.67200000005,270445943.531018
1775,270445943.531018,-221273933.96174204,270445943.531018
1800,270445943.531018,-74094765.68932001,270445943.531018
1825,270445943.531018,-245859929.34638005,270445943.531018
1850,270445943.531018,-187231784.82147405,270445943.531018
1875,270445943.531018,-187231791.02147403,270445943.531018
1900,270445943.531018,-81953303.71546,270445943.531018
1925,270445943.531018,-2939618.1916415,270445943.531018
1950,270445943.531018,-245859930.04638004,270445943.531018
1975,270445943.531018,-83838230.30561559,270445943.531018
2000,270445943.5310181,-74094767.13932,270445943.531018
2025,270445943.5310181,-87203839.605892,270445943.5310181
2050,270445943.5310181,-423654.0964000001,270445943.5310181
2075,270445943.5310181,-57367308.730822004,270445943.5310181
2100,270445943.5310181,-135222955.86550906,270445943.5310181
2125,270445943.5310181,-7438.761662335997,270445943.5310181
2150,270445943.5310181,-4160696.7404772,270445943.5310181
2175,270445943.5310181,-167184748.73553842,270445943.5310181
2200,270445943.5310181,-4160695.0904772,270445943.5310181
2225,270445943.5310181,-898925.2829552002,270445943.5310181
2250,270445943.5310181,-135222955.91550905,270445943.5310181
2275,270445943.5310181,-4160690.9404772,270445943.5310181
2300,270445943.5310181,-135222955.91550905,270445943.5310181
2325,270445943.5310181,-4160698.1404772,270445943.5310181
2350,270445943.5310181,-167184746.23553842,270445943.5310181
2375,270445943.5310181,-57367309.830822006,270445943.5310181
2400,270445943.5310181,-679251.3638880001,270445943.5310181
2425,270445943.5310181,-57367311.03082201,270445943.5310181
2450,270445943.5310181,-928115.0882899998,270445943.5310181
2475,270445943.5310181,-57367308.730822004,270445943.5310181
2500,270445943.5310181,-214083.26898419205,270445943.5310181
2525,270445943.5310181,-13177596.509136003,270445943.5310181
2550,270445943.5310181,-167184747.63553843,270445943.5310181
2575,270445943.5310181,-48046191.026800014,270445943.5310181
2600,270445943.5310181,-9960737.875156252,270445943.5310181
2625,270445943.5310181,-2151346.1447840002,270445943.5310181
2650,270445943.5310181,-135222955.71550906,270445943.5310181
2675,270445943.5310181,4212.5133663999995,270445943.5310181
2700,270445943.5310181,-89630765.26449998,270445943.5310181
2725,270445943.5310181,-94000823.05659996,270445943.5310181
