Generation,Best Score,Worst Score,Median Score
0,8646823.041232001,-6700940.9924,15021.287686655998
25,221273948.11174205,-200055893.18116403,12444.882271999999
50,221273948.11174205,-99573266.47778392,29991952.149332497
75,221273949.21174204,-221273939.16174203,73757986.253914
100,221273953.31174204,-204883275.08865002,926290.2116000004
125,221273953.31174204,-160926494.72217602,221273953.31174204
150,221273953.31174204,-120257566.34442502,717206.1995961602
175,221273953.31174204,-181042310.31869802,65815.97725468999
200,221273955.71174204,-170210722.50134006,875419.8852800002
225,221273955.71174204,-170210718.35134006,38068646.18750399
250,221273955.71174204,-139320623.69628203,560111.8315999999
275,221273955.71174204,-112288259.470884,9739.25794993
300,221273955.71174204,-181042304.51869804,221273955.71174204
325,221273955.71174204,-170210718.35134006,48103043.76777001
350,221273955.71174204,-81775141.59020899,75959719.990598
375,221273955.71174204,-181042310.01869804,75959724.940598
400,221273955.71174204,-181042307.21869802,221273955.71174204
425,221273955.71174204,-170210718.65134004,221273955.71174204
450,221273955.71174204,-627509.2321398801,221273955.71174204
475,221273955.71174204,-139320621.59628204,48103038.86777
500,265528742.97409043,-204252863.14160806,56324287.320261605
525,265528742.97409043,-134745915.8450608,265528742.97409043
550,265528742.97409043,-204252859.49160808,265528742.97409043
575,265528742.97409043,-204252863.14160806,56324287.570261605
600,265528742.97409043,-245859928.44638,265528742.97409043
625,265528742.97409043,-122856572.29696721,88509587.72469679
650,265528742.97409043,-245859928.59638,77926919.83478741
675,265528742.97409043,-122856572.6969672,265528742.97409043
700,265528742.97409043,-119487918.89334068,128481656.489076
725,265528742.97409043,-245859929.49638,265528742.97409043
750,265528743.42409045,-204252861.84160802,112758785.72392882
775,265528743.42409045,-221273934.31174204,265528743.42409045
800,265528743.42409045,-86376808.96807759,265528743.42409045
825,265528746.62409043,-29208147.66614994,265528746.62409043
850,265528746.62409043,-221273932.31174204,265528746.62409043
875,265528746.62409043,-221273931.11174205,265528746.62409043
900,265528746.62409043,-31747987.3697282,265528746.62409043
925,265528746.62409043,-221273932.76174203,265528746.62409043
950,265528746.62409043,-198155757.50156,265528746.62409043
975,265528746.62409043,-221273933.11174205,265528746.62409043
1000,265528746.62409043,-1829296.2614200003,265528746.62409043
1025,265528746.62409043,-10467678.4724544,265528746.62409043
1050,265528746.62409043,-1350115.1677279996,265528746.62409043
1075,265528746.62409043,-198155759.25156,265528746.62409043
1100,265528746.62409043,-183827568.69744724,265528746.62409043
1125,265528746.62409043,-198155758.85156003,265528746.62409043
1150,265528746.62409043,-183827572.34744725,265528746.62409043
1175,265528746.62409043,-198155757.50156,265528746.62409043
1200,265528746.62409043,-204252860.39160806,265528746.62409043
1225,265528746.62409043,-198155759.85156003,265528746.62409043
1250,265528746.62409043,-60347428.339566015,265528746.62409043
1275,265528746.62409043,-183827571.94744724,265528746.62409043
1300,265528746.62409043,-198155760.70156002,265528746.62409043
1325,265528746.62409043,-198155758.45156002,265528746.62409043
1350,265528746.62409043,-183827572.74744722,265528746.62409043
1375,265528746.62409043,-112530.15265024004,265528746.62409043
1400,265528748.5240905,-132764351.43704525,265528746.6240905
1425,265528748.5240905,-124718025.54843642,265528748.5240905
1450,265528748.5240905,-89471624.25105225,265528748.5240905
1475,265528748.5240905,-89471627.05105224,265528748.5240905
1500,265528748.5240905,-82313893.49096805,265528748.5240905
1525,265528748.5240905,-63409835.75649921,265528748.5240905
1550,265528748.5240905,-63409833.556499206,265528748.5240905
1575,265528748.5240905,-181042305.31869802,265528748.5240905
1600,265528748.5240905,-152433147.01475567,265528748.5240905
1625,265528748.5240905,-178340179.27140406,265528748.5240905
1650,265528749.0240905,-245859923.7463801,265528749.0240905
1675,265528749.0240905,-1244625.16640016,265528749.0240905
1700,265528749.0240905,-138891934.18029344,265528749.0240905
1725,265528749.0240905,-245859922.8963801,265528749.0240905
1750,265528749.0240905,-46178896.61505922,265528749.0240905
1775,265528749.0240905,-124718028.24843642,265528749.0240905
1800,265528749.0240905,-245859925.34638008,265528749.0240905
1825,265528749.0240905,-245859924.1463801,265528749.0240905
1850,265528749.0240905,-245859924.3963801,265528749.0240905
1875,265528749.0240905,-245859924.59638008,265528749.0240905
1900,265528749.0240905,-138891938.38029346,265528749.0240905
1925,265528749.0240905,-138891938.88029346,265528749.0240905
1950,265528749.0240905,-138891938.88029346,265528749.0240905
1975,265528749.0240905,-245859919.69638008,265528749.0240905
2000,265528749.0240905,-138891939.73029345,265528749.0240905
2025,265528749.0240905,-29208142.216149956,265528749.0240905
2050,265528749.0240905,-124718028.24843642,265528749.0240905
2075,265528749.0240905,-124718026.99843642,265528749.0240905
2100,265528749.0240905,-124718028.34843643,265528749.0240905
2125,265528749.0240905,-29208142.216149956,265528749.0240905
2150,265528749.0240905,-138891938.48029345,265528749.0240905
2175,265528749.0240905,-413916.68109439994,265528749.0240905
2200,265528749.0240905,-1219404.2780095998,265528749.0240905
2225,265528749.0240905,-138891939.33029345,265528749.0240905
2250,265528749.0240905,-183827568.14744723,265528749.0240905
2275,265528749.0240905,-138891941.33029345,265528749.0240905
2300,265528749.0240905,-12796555.689715201,265528749.0240905
2325,265528749.0240905,-138891937.63029346,265528749.0240905
2350,265528749.0240905,-129878170.85797906,265528749.0240905
2375,265528749.0240905,-7965.714048000002,265528749.0240905
2400,265528749.0240905,-45035388.0049,265528749.0240905
2425,265528749.0240905,-124718027.09843643,265528749.0240905
2450,265528749.0240905,-54089172.22620361,265528749.0240905
2475,265528749.0240905,-109747791.720864,265528749.0240905
2500,265528749.0240905,-2774063.5197983994,265528749.0240905
2525,265528749.0240905,-129878170.85797906,265528749.0240905
2550,265528749.0240905,-5811003.521599999,265528749.0240905
2575,265528749.0240905,-124718023.09843643,265528749.0240905
2600,265528749.0240905,-3963101.2660312005,265528749.0240905
2625,265528749.0240905,-129878173.30797906,265528749.0240905
2650,265528749.0240905,-124718023.09843643,265528749.0240905
2675,265528749.0240905,-124718027.49843642,265528749.0240905
2700,265528749.0240905,-819168.590576,265528749.0240905
2725,265528749.0240905,-12796550.489715202,265528749.0240905
2750,265528749.0240905,-54089173.576203614,265528749.0240905
2775,265528749.0240905,-1135259.98232,265528749.0240905
